game_id,opening_eco,opening_name,opening_moves,opening_description,white_rating,black_rating,result,time_control,created_at
sample_27,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1240,1325,white,rapid,2024-01-01
sample_28,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1267,1316,white,rapid,2024-01-01
sample_29,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1252,1391,draw,rapid,2024-01-01
sample_30,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1211,1358,white,rapid,2024-01-01
sample_31,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1360,1328,white,rapid,2024-01-01
sample_32,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1336,1392,white,rapid,2024-01-01
sample_33,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1374,1278,black,rapid,2024-01-01
sample_34,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1351,1309,white,rapid,2024-01-01
sample_35,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1345,1335,white,rapid,2024-01-01
sample_36,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1312,1349,black,rapid,2024-01-01
sample_37,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1374,1322,white,rapid,2024-01-01
sample_38,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1345,1230,white,rapid,2024-01-01
sample_39,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1327,1346,draw,rapid,2024-01-01
sample_40,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1202,1303,white,rapid,2024-01-01
sample_41,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1308,1324,white,rapid,2024-01-01
sample_42,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1241,1239,draw,rapid,2024-01-01
sample_43,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1222,1242,white,rapid,2024-01-01
sample_44,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1299,1298,white,rapid,2024-01-01
sample_45,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1216,1224,draw,rapid,2024-01-01
sample_46,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1307,1200,black,rapid,2024-01-01
sample_47,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1226,1319,black,rapid,2024-01-01
sample_48,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1245,1316,white,rapid,2024-01-01
sample_49,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1212,1227,draw,rapid,2024-01-01
sample_50,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1329,1293,black,rapid,2024-01-01
sample_51,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1236,1345,draw,rapid,2024-01-01
sample_52,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1370,1342,white,rapid,2024-01-01
sample_53,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1399,1229,white,rapid,2024-01-01
sample_54,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1386,1216,white,rapid,2024-01-01
sample_55,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1386,1370,white,rapid,2024-01-01
sample_56,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1226,1347,draw,rapid,2024-01-01
sample_57,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1219,1344,white,rapid,2024-01-01
sample_58,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1268,1244,draw,rapid,2024-01-01
sample_59,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1259,1389,black,rapid,2024-01-01
sample_60,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1271,1276,white,rapid,2024-01-01
sample_61,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1233,1266,white,rapid,2024-01-01
sample_62,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1262,1216,draw,rapid,2024-01-01
sample_63,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1260,1276,draw,rapid,2024-01-01
sample_64,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1292,1355,white,rapid,2024-01-01
sample_65,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1225,1251,draw,rapid,2024-01-01
sample_66,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1313,1302,draw,rapid,2024-01-01
sample_67,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1263,1262,white,rapid,2024-01-01
sample_68,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1391,1234,draw,rapid,2024-01-01
sample_69,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1284,1343,draw,rapid,2024-01-01
sample_70,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1280,1284,black,rapid,2024-01-01
sample_71,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1390,1348,white,rapid,2024-01-01
sample_72,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1259,1389,black,rapid,2024-01-01
sample_73,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1275,1384,white,rapid,2024-01-01
sample_74,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1354,1382,draw,rapid,2024-01-01
sample_75,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1355,1311,white,rapid,2024-01-01
sample_76,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1276,1344,white,rapid,2024-01-01
sample_77,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1265,1207,draw,rapid,2024-01-01
sample_78,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1392,1344,white,rapid,2024-01-01
sample_79,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1366,1383,white,rapid,2024-01-01
sample_80,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1320,1215,white,rapid,2024-01-01
sample_81,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1227,1313,black,rapid,2024-01-01
sample_82,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1231,1312,white,rapid,2024-01-01
sample_83,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1267,1334,white,rapid,2024-01-01
sample_84,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1221,1354,white,rapid,2024-01-01
sample_85,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1347,1386,white,rapid,2024-01-01
sample_86,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1220,1251,draw,rapid,2024-01-01
sample_87,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1301,1379,black,rapid,2024-01-01
sample_88,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1252,1273,white,rapid,2024-01-01
sample_89,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1279,1210,black,rapid,2024-01-01
sample_90,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1207,1325,black,rapid,2024-01-01
sample_91,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1210,1363,draw,rapid,2024-01-01
sample_92,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1316,1376,black,rapid,2024-01-01
sample_93,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1340,1255,black,rapid,2024-01-01
sample_94,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1222,1289,draw,rapid,2024-01-01
sample_95,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1241,1390,white,rapid,2024-01-01
sample_96,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1226,1383,black,rapid,2024-01-01
sample_97,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1298,1302,black,rapid,2024-01-01
sample_98,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1253,1388,white,rapid,2024-01-01
sample_99,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1260,1387,white,rapid,2024-01-01
sample_100,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1243,1326,white,rapid,2024-01-01
sample_101,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1332,1217,draw,rapid,2024-01-01
sample_102,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1223,1231,black,rapid,2024-01-01
sample_103,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1284,1236,white,rapid,2024-01-01
sample_104,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1362,1343,white,rapid,2024-01-01
sample_105,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1378,1243,draw,rapid,2024-01-01
sample_106,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1338,1368,white,rapid,2024-01-01
sample_107,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1259,1395,black,rapid,2024-01-01
sample_108,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1239,1311,white,rapid,2024-01-01
sample_109,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1388,1387,white,rapid,2024-01-01
sample_110,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1257,1397,black,rapid,2024-01-01
sample_111,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1369,1373,white,rapid,2024-01-01
sample_112,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1310,1215,black,rapid,2024-01-01
sample_113,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1392,1313,white,rapid,2024-01-01
sample_114,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1358,1233,white,rapid,2024-01-01
sample_115,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1218,1242,draw,rapid,2024-01-01
sample_116,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1209,1332,draw,rapid,2024-01-01
sample_117,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1363,1315,black,rapid,2024-01-01
sample_118,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1334,1385,draw,rapid,2024-01-01
sample_119,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1380,1234,draw,rapid,2024-01-01
sample_120,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1367,1285,white,rapid,2024-01-01
sample_121,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1243,1206,black,rapid,2024-01-01
sample_122,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1238,1213,draw,rapid,2024-01-01
sample_123,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1201,1384,draw,rapid,2024-01-01
sample_124,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1317,1335,draw,rapid,2024-01-01
sample_125,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1250,1262,draw,rapid,2024-01-01
sample_126,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1382,1342,white,rapid,2024-01-01
sample_127,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1387,1320,black,rapid,2024-01-01
sample_128,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1293,1389,draw,rapid,2024-01-01
sample_129,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1328,1353,black,rapid,2024-01-01
sample_130,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1221,1367,white,rapid,2024-01-01
sample_131,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1359,1214,white,rapid,2024-01-01
sample_132,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1293,1292,white,rapid,2024-01-01
sample_133,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1351,1275,draw,rapid,2024-01-01
sample_134,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1278,1311,white,rapid,2024-01-01
sample_135,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1263,1354,draw,rapid,2024-01-01
sample_136,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1310,1352,black,rapid,2024-01-01
sample_137,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1229,1320,black,rapid,2024-01-01
sample_138,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1316,1294,white,rapid,2024-01-01
sample_139,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1335,1283,draw,rapid,2024-01-01
sample_140,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1386,1390,white,rapid,2024-01-01
sample_141,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1250,1274,draw,rapid,2024-01-01
sample_142,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1309,1365,black,rapid,2024-01-01
sample_143,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1247,1255,black,rapid,2024-01-01
sample_144,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1433,1578,white,rapid,2024-01-01
sample_145,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1480,1572,draw,rapid,2024-01-01
sample_146,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1451,1547,white,rapid,2024-01-01
sample_147,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1474,1492,white,rapid,2024-01-01
sample_148,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1406,1442,white,rapid,2024-01-01
sample_149,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1485,1594,black,rapid,2024-01-01
sample_150,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1548,1590,white,rapid,2024-01-01
sample_151,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1544,1557,draw,rapid,2024-01-01
sample_152,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1437,1554,draw,rapid,2024-01-01
sample_153,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1475,1553,black,rapid,2024-01-01
sample_154,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1597,1580,draw,rapid,2024-01-01
sample_155,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1579,1538,black,rapid,2024-01-01
sample_156,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1459,1498,black,rapid,2024-01-01
sample_157,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1453,1412,draw,rapid,2024-01-01
sample_158,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1589,1544,black,rapid,2024-01-01
sample_159,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1527,1446,white,rapid,2024-01-01
sample_160,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1562,1503,white,rapid,2024-01-01
sample_161,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1576,1421,white,rapid,2024-01-01
sample_162,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1473,1450,white,rapid,2024-01-01
sample_163,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1539,1558,draw,rapid,2024-01-01
sample_164,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1446,1495,black,rapid,2024-01-01
sample_165,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1571,1591,white,rapid,2024-01-01
sample_166,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1533,1526,draw,rapid,2024-01-01
sample_167,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1535,1411,draw,rapid,2024-01-01
sample_168,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1458,1455,white,rapid,2024-01-01
sample_169,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1460,1571,black,rapid,2024-01-01
sample_170,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1415,1588,black,rapid,2024-01-01
sample_171,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1422,1425,white,rapid,2024-01-01
sample_172,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1548,1528,black,rapid,2024-01-01
sample_173,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1578,1424,black,rapid,2024-01-01
sample_174,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1416,1498,white,rapid,2024-01-01
sample_175,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1524,1421,white,rapid,2024-01-01
sample_176,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1466,1550,white,rapid,2024-01-01
sample_177,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1568,1417,draw,rapid,2024-01-01
sample_178,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1463,1537,white,rapid,2024-01-01
sample_179,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1462,1431,white,rapid,2024-01-01
sample_180,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1409,1450,black,rapid,2024-01-01
sample_181,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1473,1411,white,rapid,2024-01-01
sample_182,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1491,1545,draw,rapid,2024-01-01
sample_183,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1586,1495,draw,rapid,2024-01-01
sample_184,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1451,1477,white,rapid,2024-01-01
sample_185,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1401,1443,black,rapid,2024-01-01
sample_186,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1538,1554,draw,rapid,2024-01-01
sample_187,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1542,1419,white,rapid,2024-01-01
sample_188,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1444,1490,draw,rapid,2024-01-01
sample_189,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1503,1461,black,rapid,2024-01-01
sample_190,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1486,1554,black,rapid,2024-01-01
sample_191,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1565,1478,white,rapid,2024-01-01
sample_192,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1570,1485,white,rapid,2024-01-01
sample_193,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1516,1530,black,rapid,2024-01-01
sample_194,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1549,1485,white,rapid,2024-01-01
sample_195,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1590,1535,white,rapid,2024-01-01
sample_196,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1541,1596,black,rapid,2024-01-01
sample_197,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1455,1479,draw,rapid,2024-01-01
sample_198,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1465,1412,draw,rapid,2024-01-01
sample_199,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1580,1426,white,rapid,2024-01-01
sample_200,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1408,1565,draw,rapid,2024-01-01
sample_201,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1523,1433,draw,rapid,2024-01-01
sample_202,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1450,1527,white,rapid,2024-01-01
sample_203,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1408,1438,white,rapid,2024-01-01
sample_204,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1545,1486,draw,rapid,2024-01-01
sample_205,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1549,1491,draw,rapid,2024-01-01
sample_206,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1542,1518,draw,rapid,2024-01-01
sample_207,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1558,1413,white,rapid,2024-01-01
sample_208,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1428,1518,white,rapid,2024-01-01
sample_209,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1415,1413,white,rapid,2024-01-01
sample_210,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1577,1534,black,rapid,2024-01-01
sample_211,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1462,1594,black,rapid,2024-01-01
sample_212,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1496,1482,white,rapid,2024-01-01
sample_213,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1434,1401,white,rapid,2024-01-01
sample_214,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1532,1503,white,rapid,2024-01-01
sample_215,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1470,1498,draw,rapid,2024-01-01
sample_216,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1540,1589,black,rapid,2024-01-01
sample_217,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1414,1558,draw,rapid,2024-01-01
sample_218,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1589,1572,draw,rapid,2024-01-01
sample_219,B20,Sicilian Defense,1. e4 c5,"Aggressive counter-attack, fighting for center control",1507,1443,white,rapid,2024-01-01
